time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.383,-0.2397485,0.1723186,0.01071885,0.5891653,0.1489483,-0.06729529,0.05688024,0.1459712,-0.2578571,356.1805,4.45765,0.5797132,-0.3205773,-0.0153319,0.05168543,-0.3212031,0.2462689,0.02398913,-0.129267,-0.441943,-0.1959332,0.3111007,357.4253,354.6631,-0.1477807,0.06379023,-0.00518037,-0.1796697,-0.6071889,-0.4822415,0.1911411,-0.1884431,-0.1440397,322.2846,336.6368,358.1996,
12.836,-0.2414718,0.06202129,0.01709183,0.6746805,0.164516,-0.07015593,0.05356818,0.1434479,-0.2576025,355.4986,4.33421,0.5408062,-0.3031818,-0.1154569,0.1311836,-0.2095171,0.3393356,-0.2579487,-0.1324338,-0.4467115,-0.1920505,0.3830226,356.9941,355.3605,-0.1411616,-0.1243649,0.03523189,-0.4495545,-0.7246113,-0.6253037,0.1893332,-0.1945888,-0.1434121,323.5159,336.8791,358.5496,
26.13,-0.2408513,-0.04784584,0.01919319,0.7613061,0.1505335,-0.07505997,0.0503031,0.1390721,-0.2573826,354.7455,4.266588,0.4834005,-0.2847345,-0.1896665,0.1844226,-0.08639381,0.4387728,-0.3026849,-0.1349652,-0.451226,-0.1881181,0.3253459,356.4667,355.691,-0.1346719,-0.3076241,0.05419726,-0.6869923,-0.7475937,-0.7156249,0.1877246,-0.2029094,-0.1434546,324.8141,337.201,358.6913,
40.074,-0.2388995,-0.1780638,0.01759077,0.8151286,0.106604,-0.04685985,0.04705334,0.1326345,-0.2572997,354.054,4.29728,0.3278729,-0.2545813,-0.2630887,0.2369944,0.1484902,0.5110767,-0.3712869,-0.1367002,-0.4570593,-0.183804,359.8891,355.8789,356.1502,-0.1212239,-0.4761359,0.04897787,-0.8769775,-0.6220409,-0.7034947,0.1864356,-0.2131699,-0.143934,325.9554,337.5874,358.4415,
53.964,-0.2351281,-0.304878,0.01324335,0.7606289,0.05904327,-0.006925567,0.0439415,0.1244724,-0.2571692,353.6374,4.360313,0.2065564,-0.2015412,-0.3466859,0.296113,0.2464493,0.4448931,-0.7072324,-0.137256,-0.4639459,-0.1779985,359.6661,355.5933,357.3094,-0.1096092,-0.6364362,0.02835021,-1.049058,-0.4140909,-0.6886579,0.1852331,-0.2259085,-0.1452653,327.1106,337.9232,357.9136,
67.603,-0.2278236,-0.4240762,0.008442711,0.4050478,0.0104851,0.02236014,0.04105842,0.1165823,-0.257247,354.191,4.42444,0.2377331,-0.1484893,-0.4036709,0.3379366,0.2580199,0.2766175,-1.039475,-0.1376327,-0.4709296,-0.1722652,359.612,355.6454,358.7324,-0.114074,-0.7752674,0.001697382,-1.053629,-0.2123594,-0.8237786,0.1837253,-0.2403594,-0.1461061,328.2943,337.6776,357.7024,
81.653,-0.2176711,-0.502466,0.00677957,-0.06730877,-0.02123197,0.04447146,0.03843111,0.1093146,-0.2570848,355.0746,4.467572,0.3174726,-0.07953867,-0.4485847,0.3770148,0.397063,0.00535556,-1.253803,-0.1369554,-0.478483,-0.1664592,359.214,356.0811,0.1984282,-0.1095629,-0.914933,-0.05871654,-0.5997768,-0.2691611,-0.7518666,0.1833715,-0.2560454,-0.1490815,328.5177,337.2171,358.4034,
95.621,-0.2045603,-0.5340289,0.009962961,-0.3326148,-0.04123414,0.03408244,0.03613162,0.1027307,-0.2569816,355.6087,4.50547,0.4255175,-0.00931628,-0.4677904,0.4144837,0.6260905,-0.1997107,-1.070537,-0.1351939,-0.4858962,-0.1585995,358.3689,356.5594,0.8659968,-0.0914533,-1.027676,-0.08312266,-0.30371,-0.4765781,-0.5696833,0.1817732,-0.2732596,-0.1499694,328.5056,337.3405,359.1276,
110.234,-0.1836169,-0.5210111,0.01356091,-0.3960859,-0.05871676,-0.007428218,0.03435522,0.09740907,-0.2566297,355.8195,4.548687,0.5663412,0.0579175,-0.4560183,0.4583257,0.8094616,-0.2579764,-0.5477821,-0.1324114,-0.4915062,-0.1510615,357.3233,356.8537,0.5074679,-0.08601183,-1.147085,-0.05788339,-0.5047014,-0.5022088,-0.8024497,0.1813143,-0.2904791,-0.1499604,329.8122,337.2256,359.5211,
123.146,-0.1628871,-0.4821908,0.01521892,-0.2672372,-0.07001893,-0.05452111,0.03269637,0.09225726,-0.256427,355.6424,4.599925,0.6756266,0.1298685,-0.3769054,0.5001213,1.142776,-0.3049202,0.01443055,-0.1287122,-0.4937314,-0.1432902,355.7065,357.2144,359.6646,-0.06088657,-1.230026,-0.01754668,-0.8896382,-0.3283726,-0.8433983,0.1817263,-0.3080331,-0.1495094,331.2873,337.4696,358.96,
137.122,-0.1420016,-0.4397105,0.01498004,-0.02795151,-0.05223464,-0.02203909,0.03116149,0.086631,-0.2559693,355.192,4.629929,0.4864438,0.1876991,-0.2079167,0.5362275,1.624908,-0.2883169,0.2593231,-0.1249452,-0.4910049,-0.1335487,353.4923,357.4697,359.2202,-0.01735282,-1.252666,0.02088544,-1.316572,-0.2330996,-0.6834858,0.1822011,-0.3226437,-0.1487328,332.7933,338.3028,357.8824,
151.071,-0.1221889,-0.395325,0.01906918,0.07479937,-0.005628438,0.07738062,0.02986294,0.08316362,-0.2556913,355.1721,4.57249,0.1908389,0.2003188,0.06920949,0.5763263,2.023782,-0.0212456,-0.2123182,-0.1219486,-0.4818012,-0.1246796,351.2773,356.8193,0.4025984,0.03750775,-1.202282,0.03653915,-1.645958,-0.07272768,-0.2585531,0.1839005,-0.3358886,-0.1496959,333.833,339.6039,356.1328,
165.154,-0.1009434,-0.3402939,0.01963339,0.1335116,0.03762826,-0.001063431,0.02929622,0.0804894,-0.2555149,354.9386,4.434375,0.4580795,0.1850338,0.3599012,0.5949515,2.213419,0.1627097,-1.098685,-0.1189851,-0.4688569,-0.1156991,349.5085,355.7698,3.02934,0.09502757,-1.11709,0.04092082,-2.083086,0.2457664,0.1717387,0.1859499,-0.3467942,-0.1495308,335.1032,341.0516,353.5916,
179.137,-0.07501958,-0.2592635,0.01767026,0.06412125,0.08114298,-0.1138751,0.02912939,0.07993078,-0.2552974,355.0681,4.244385,0.7540155,0.1790289,0.6788593,0.5709479,2.571488,0.192881,-1.816304,-0.1153431,-0.4523219,-0.1091953,347.2892,354.699,6.158741,0.1466575,-1.032154,0.05075176,-2.709424,0.7218879,0.4799355,0.1887427,-0.3568404,-0.1495075,337.1359,342.4458,350.2875,
193.139,-0.04653632,-0.1632075,0.01998916,-0.04507106,0.1236437,-0.2368201,0.02933794,0.08081514,-0.2548022,355.2493,4.011547,1.180734,0.2206135,0.9877972,0.4974486,3.01158,-0.04492965,-1.770729,-0.1103245,-0.4328897,-0.1046369,344.4287,354.5606,8.154844,0.1803997,-0.9525519,0.05711716,-3.112462,0.8541401,0.4960773,0.1911804,-0.365605,-0.1493692,339.6079,343.6195,347.7946,
206.963,-0.01783267,-0.05258884,0.02662416,-0.1846901,0.1602274,-0.2776482,0.02985728,0.08378416,-0.2541611,355.6362,3.807708,1.413619,0.2793727,1.276504,0.3779885,3.581933,-0.1293556,-1.100565,-0.1050642,-0.4107619,-0.1020362,340.6154,354.9462,8.57528,0.2018322,-0.8530368,0.0328011,-2.988186,0.3193202,0.2347233,0.1932164,-0.3722422,-0.1513917,341.6275,344.8704,347.2626,
221.001,0.01239093,0.06846125,0.03577483,-0.1931944,0.2047559,-0.2165887,0.03096902,0.08834183,-0.2533953,355.6689,3.549689,1.406326,0.3284473,1.513009,0.2300673,4.141519,-0.07087941,-0.358387,-0.1000867,-0.3877066,-0.1015741,336.2329,355.6238,8.128455,0.1970507,-0.7091444,-0.04513343,-2.179253,-0.5182257,-0.4598431,0.194914,-0.3769506,-0.1557369,342.6998,345.5042,349.123,
234.976,0.04643897,0.1857188,0.04785071,-0.07894074,0.2164331,-0.1970968,0.03263479,0.0935396,-0.2523034,355.4216,3.362444,1.529997,0.34784,1.667095,0.09877957,4.350115,-0.1073849,-0.02837221,-0.09590314,-0.3645362,-0.101514,332.3729,356.3722,8.028408,0.1805015,-0.5834546,-0.1262888,-1.266687,-0.8900634,-1.113129,0.1973502,-0.3810074,-0.1595959,343.2681,345.2816,351.522,
248.862,0.07775013,0.2746485,0.05645725,0.02018405,0.2152188,-0.1742773,0.03455442,0.09879673,-0.2513578,355.2405,3.191934,1.59147,0.3348811,1.746874,-0.001549952,4.214122,-0.1807528,0.00350108,-0.09274685,-0.3415889,-0.1021023,329.3097,356.8863,8.392101,0.185616,-0.4917545,-0.1707401,-0.9582071,-0.9021994,-1.560097,0.2007302,-0.3843312,-0.1624434,344.506,345.0126,353.3229,
262.661,0.1090584,0.3439982,0.0604629,-0.01247522,0.2327998,-0.07938135,0.03685647,0.1046503,-0.2506132,355.4523,2.986442,1.443127,0.2923364,1.765639,-0.08005318,3.945371,-0.2032378,-0.1259959,-0.09028386,-0.3198784,-0.1035108,326.7122,356.9171,9.147542,0.2201237,-0.4279087,-0.1799852,-1.170188,-0.8003303,-1.670216,0.2049375,-0.3871099,-0.1649791,346.3663,345.2126,354.1056,
276.676,0.1360801,0.3879817,0.06214096,-0.1055872,0.2249124,0.0310446,0.03946519,0.1108297,-0.2498748,355.7601,2.868858,1.229967,0.2408098,1.731848,-0.1368477,3.587067,-0.1247085,-0.2542328,-0.0882015,-0.2996361,-0.1051255,324.5154,356.5919,9.881879,0.2597762,-0.3902956,-0.1768812,-1.61407,-0.559966,-1.573747,0.2093992,-0.3900586,-0.1677413,348.6406,345.5324,354.044,
290.561,0.1648367,0.4185625,0.0601147,-0.197264,0.1881911,0.1220445,0.0425415,0.1169486,-0.2492452,356.0754,2.827885,1.044562,0.2060017,1.661494,-0.1671802,3.195289,-0.08551338,-0.2989108,-0.08591276,-0.281287,-0.1069168,322.7138,356.3228,10.48517,0.2946589,-0.3710852,-0.1778722,-1.938432,-0.3604548,-1.439525,0.214159,-0.3932584,-0.1703638,350.909,345.8213,353.8026,
304.214,0.1921647,0.4342428,0.05676731,-0.2446667,0.12314,0.1543032,0.04583955,0.1229077,-0.2485449,356.3176,2.86978,0.9522824,0.1966742,1.505824,-0.1933781,2.663404,0.0369654,-0.0653287,-0.0831315,-0.2666901,-0.1091072,321.5106,356.7219,10.09693,0.324275,-0.3597333,-0.1826026,-1.794451,-0.5598816,-1.565389,0.2184843,-0.3970656,-0.1733698,352.6078,346.4201,354.6707,
318.273,0.2155715,0.4372403,0.05409524,-0.2539285,0.06083658,0.1261476,0.04928732,0.1286507,-0.2478521,356.5158,2.911759,0.969597,0.2154266,1.37915,-0.2128882,2.439815,0.3946096,0.1956884,-0.07960487,-0.2532561,-0.1114288,319.8213,357.2509,8.901193,0.3303966,-0.3617827,-0.1904825,-1.321845,-0.8145915,-2.022637,0.2222396,-0.4014067,-0.1766251,353.8995,346.8949,356.8799,
332.236,0.2329483,0.4287856,0.05269072,-0.213055,0.02585882,0.06904687,0.05281693,0.1339048,-0.247196,356.5657,2.910706,1.031703,0.253115,1.20483,-0.2282987,2.249227,0.9072291,0.5312203,-0.07553722,-0.2436746,-0.1137103,318.2033,358.229,6.53125,0.3270338,-0.374194,-0.1998525,-0.3840855,-1.041084,-2.833556,0.2265315,-0.4064771,-0.1795664,354.4464,347.0363,0.9350662,
346.09,0.243585,0.4076971,0.05226427,-0.1028444,0.01678376,0.03089213,0.05635661,0.1383272,-0.246469,356.396,2.894932,1.034322,0.2875448,0.970404,-0.2190806,1.986211,1.376165,0.7461798,-0.07169535,-0.2380451,-0.1149983,316.9744,359.2678,3.768428,0.3503879,-0.3982987,-0.1834899,0.05138401,-1.033543,-2.965182,0.2323392,-0.4118848,-0.1810003,354.9498,347.2592,3.760387,
360.15,0.2495972,0.3677282,0.0525947,0.04046532,0.01286513,0.01963246,0.0598321,0.1415588,-0.2457278,356.1117,2.904316,0.9870353,0.2839347,0.7789308,-0.1876971,1.625032,1.400735,0.6573844,-0.06861917,-0.2337953,-0.1159719,316.2766,359.6631,2.267116,0.4092899,-0.4342587,-0.1276301,-0.3610593,-1.057211,-2.290035,0.2393644,-0.4178531,-0.180317,356.0865,348.1054,4.12061,
373.808,0.2520143,0.3039014,0.05180039,0.2071033,0.0104958,0.007328537,0.06331825,0.1430555,-0.2451546,355.6494,2.905586,0.9482184,0.2683527,0.5427976,-0.1302786,1.005416,1.019361,0.5586556,-0.06583214,-0.2337092,-0.1159187,316.5836,359.973,1.850223,0.4917209,-0.4728749,-0.0424225,-1.121164,-1.432327,-1.313403,0.2465375,-0.4238306,-0.1783599,357.7788,350.0548,2.932296,
