time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.299,-0.0002232225,0.001430502,-0.00137837,0.02116327,-0.003928157,-0.00460524,0.3041388,-0.3987426,-0.1163011,354.5627,353.1335,2.997905,0.001801574,-0.000173469,-9.873766E-06,0.0007615834,-0.004380586,-0.005850329,0.1808856,-0.8712981,0.04913745,19.9105,347.753,9.557606,0.01485977,0.03041242,-0.01081583,0.2334827,-0.1941293,-0.3949925,0.4084788,-0.8752618,0.06456071,11.3052,1.09019,337.9978,
12.996,-0.0001973792,0.001324445,-0.001170754,0.02172221,-0.0005137002,-0.003969411,0.304114,-0.3987301,-0.1162767,354.5417,353.1261,3.001824,0.002060803,2.127228E-06,0.0002869116,0.003879837,-0.01356974,0.007312346,0.180906,-0.8712907,0.04914974,19.90776,347.7602,9.554308,0.01821515,0.03727635,-0.01505427,0.2938831,-0.2412291,-0.4989564,0.4086102,-0.8749517,0.06400695,10.82956,1.413464,338.5168,
26.358,-0.0001188252,0.001148586,-0.0006147857,0.02679196,0.004893863,-0.0002496961,0.3041108,-0.3987081,-0.1162639,354.5138,353.1189,3.003312,0.001375924,-0.0003457103,0.0002498139,0.002420119,-0.01059624,0.01453577,0.1809273,-0.8712885,0.04916456,19.90298,347.7621,9.539213,0.01211756,0.04457845,-0.01711123,0.3814132,-0.1992833,-0.4340963,0.4085233,-0.8745683,0.06386922,10.34316,1.402748,338.7254,
40.285,-0.0001106726,0.001908514,-0.0003647599,0.02152513,0.009694651,0.009724529,0.3041174,-0.3986404,-0.1162724,354.4933,353.1107,2.972192,0.0006742807,-0.00195361,0.0005137628,-0.004192462,-0.000541568,-0.007162197,0.1809224,-0.8713085,0.04918247,19.90448,347.763,9.53595,0.004932878,0.03338511,-0.01218544,0.2405161,-0.07319313,-0.2630107,0.4084812,-0.8744786,0.06406422,10.46347,1.255567,338.6765,
54.11,-9.583385E-05,0.001713206,0.0003957786,0.02677906,0.01177405,0.01858833,0.3041218,-0.3986079,-0.1162529,354.4539,353.1103,2.955684,-9.002329E-05,-0.003086837,0.0004304215,-0.0116496,0.006637764,-0.02033863,0.1809092,-0.8713397,0.04920539,19.91322,347.7663,9.546206,0.001269689,0.02336961,-0.00909256,0.1928216,-0.02962604,-0.191661,0.4084571,-0.8747703,0.06428933,10.41841,1.184999,338.6897,
67.909,0.000303808,0.00164387,0.001180133,0.02567649,0.00892855,0.01547614,0.3041334,-0.3986054,-0.116195,354.4444,353.1052,2.959677,-0.001322607,-0.001697484,-0.0003038055,0.01204915,0.01881171,-0.004490019,0.1808786,-0.8713768,0.04920715,19.91798,347.7626,9.560718,0.006782383,0.01026584,-0.001467175,0.04839638,-0.02586761,-0.1954552,0.4086813,-0.8744985,0.06401138,10.63149,1.273571,338.7397,
81.8,0.0009003797,0.001561561,0.001539905,0.02192917,0.007442228,0.009134375,0.3041583,-0.3986028,-0.1161442,354.433,353.106,2.963646,-0.001025651,-0.003845559,7.458922E-05,-0.01202875,0.007113892,-0.003759888,0.1808526,-0.871423,0.04922275,19.92632,347.7573,9.564282,0.02043261,0.006742406,0.0006894434,0.01464186,-0.1646981,-0.2362493,0.4089254,-0.8748674,0.06407626,10.4764,1.705466,339.0192,
95.78,0.001016604,0.001164368,0.002026163,0.01772654,0.0002471967,0.00712648,0.3041585,-0.398603,-0.1161275,354.4194,353.1143,2.961446,-0.0006589012,-0.004424004,0.0001695901,-0.01466989,-0.003242492,0.006870854,0.1808335,-0.8714721,0.04923052,19.93181,347.7507,9.554317,0.02795637,-0.004875324,0.005836233,-0.1021552,-0.1686963,-0.2339523,0.4092772,-0.874935,0.06471162,10.64116,2.041014,339.2265,
110.222,0.001414251,0.0008485921,0.001826198,0.002380058,-0.006565996,0.005372507,0.3041707,-0.3985957,-0.1161556,354.443,353.1302,2.956797,8.119529E-06,-0.006143249,0.0008755599,-0.03826242,-0.01368482,0.005919928,0.1808326,-0.8715287,0.049221,19.9501,347.7426,9.530866,0.0337269,-0.003283701,0.007133764,-0.08283152,-0.2239802,-0.1622065,0.4097072,-0.8746337,0.06457421,10.56127,2.306209,339.1937,
123.589,0.00166055,0.000176605,0.00147694,-0.01414061,-0.01540207,0.004803261,0.3041937,-0.3986104,-0.1161661,354.4993,353.1622,2.949014,0.0006548283,-0.005101927,-0.0001658761,-0.0175284,-0.001528001,0.001859072,0.1808405,-0.8715899,0.04923625,19.95205,347.7372,9.522872,0.03543906,0.01152466,0.005319798,0.0826355,-0.3242456,0.158759,0.4100784,-0.8746987,0.06482856,10.15898,2.336421,338.4119,
