time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.38,0.02482531,0.008939996,-0.04986024,0.1226603,-0.1973804,-0.014133,0.2591525,-0.009697676,0.07596183,359.1995,14.86177,3.911562,0.1807442,-0.007719687,-0.03159269,-0.01030211,-0.4719362,0.321254,0.2556012,-0.3968939,0.3248595,332.1672,32.50272,355.2144,0.2239137,-0.103484,-0.2284886,0.1498133,-0.4053172,0.3063475,0.515269,-0.4495883,0.2327224,334.9325,31.20917,354.5533,
12.078,0.01856673,0.01110424,-0.04722992,0.1353769,-0.1067487,-0.01600165,0.2592158,-0.009514511,0.07542253,359.0621,14.80988,3.853973,0.1506302,-0.006555206,-0.02680621,0.02145518,-0.3612924,0.2770029,0.2565877,-0.3968031,0.3246331,332.2242,32.69844,355.1213,0.1992704,-0.1018499,-0.1962279,0.1050052,-0.30482,0.3510773,0.5170718,-0.4506464,0.231007,335.2004,31.48202,354.4009,
24.008,0.0127089,0.01279157,-0.04493002,0.1435113,-0.03510081,-0.01379391,0.2592428,-0.009355426,0.07487822,358.9403,14.71928,3.796634,0.1165894,-0.0007990145,-0.02400531,0.07980183,-0.2303964,0.1743131,0.2571331,-0.3966401,0.3243808,332.1186,32.73635,354.9481,0.1762488,-0.09632596,-0.1690139,0.07736582,-0.2780196,0.3450815,0.5184588,-0.4515991,0.2295876,335.3629,31.77639,354.3282,
37.969,0.005973408,0.0132665,-0.04274765,0.1455657,0.04419816,-0.007878821,0.2591439,-0.0091905,0.07432461,358.846,14.57979,3.731585,0.0785903,0.005705636,-0.02180736,0.0943618,-0.1696829,0.0860403,0.2570184,-0.3965215,0.324103,331.9873,32.75676,354.8877,0.1480675,-0.08948856,-0.1333562,0.02455615,-0.2781319,0.3386483,0.5194271,-0.452401,0.2291406,335.5485,32.05561,354.3607,
51.841,0.0003757074,0.01292429,-0.04104478,0.132297,0.09376197,-0.002074731,0.2589759,-0.009027839,0.07376218,358.7805,14.4345,3.678333,0.05115753,0.0116404,-0.02240217,0.05238521,-0.2272699,0.06060841,0.256649,-0.3961594,0.3238408,331.9265,32.93051,355.0294,0.1189873,-0.08271767,-0.0907423,-0.0721179,-0.2710242,0.3692432,0.5197043,-0.4529085,0.2289901,335.8919,32.28886,354.4985,
65.99,-0.005065703,0.01295196,-0.03896578,0.10465,0.1408982,-0.005594848,0.2587291,-0.008824229,0.07324338,358.7344,14.24994,3.683537,0.01529238,0.01871164,-0.01683958,-0.07429907,-0.2567654,0.01426812,0.2561381,-0.3954966,0.3243219,331.9223,32.87614,355.4536,0.08180507,-0.06939549,-0.05457126,-0.08144742,-0.2517678,0.2977144,0.5194688,-0.4534644,0.2293129,335.9861,32.43892,354.5903,
79.949,-0.01065104,0.01365467,-0.03651368,0.08535058,0.192448,-0.02014419,0.2584378,-0.008603632,0.072896,358.6565,14.01159,3.6957,-0.01663814,0.02107207,-0.006285791,-0.1492988,-0.1807252,0.02649729,0.2545528,-0.395355,0.3239847,332.0692,32.73814,355.7023,0.03219062,-0.05170592,-0.0123854,-0.09784266,-0.08458455,0.1680313,0.5184909,-0.4537088,0.2298343,336.0387,32.15417,354.6555,
93.8,-0.01628816,0.01457951,-0.03335899,0.07737604,0.2496614,-0.03999642,0.2580895,-0.008357108,0.07258129,358.5553,13.71205,3.712279,-0.05446758,0.02576762,0.002160549,-0.06359316,0.04871227,-0.03116447,0.2534176,-0.3945425,0.3246173,332.053,32.41723,355.4782,-0.006765714,-0.03397045,0.02247059,-0.09719747,0.01749446,0.1006697,0.5179195,-0.4532568,0.2317631,336.0765,31.939,354.6813,
107.829,-0.02168575,0.01543844,-0.03011319,0.07911988,0.301648,-0.06363638,0.257635,-0.008151948,0.07227778,358.4216,13.38707,3.756178,-0.08594875,0.03341222,0.004450369,0.08212821,0.2464349,-0.1294314,0.2514874,-0.3939455,0.3246054,331.8463,32.06655,355.0477,-0.0395418,-0.02019576,0.05014363,-0.08566354,0.07199062,0.02793514,0.5165502,-0.4532004,0.2334089,336.1099,31.7214,354.7321,
121.599,-0.02732123,0.01547984,-0.02700331,0.07708387,0.3593712,-0.08215959,0.2570921,-0.008006811,0.07197356,358.3071,13.00812,3.795565,-0.1264727,0.04490829,0.007738373,0.2257942,0.4793869,-0.2710709,0.2483474,-0.3934897,0.3240913,331.4944,31.46845,354.4824,-0.08795457,0.001339662,0.08137099,-0.02751119,0.1488954,-0.1533109,0.513839,-0.4530311,0.2347743,335.7892,31.31247,354.7715,
