time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.355,-0.001585526,-0.01618032,-0.003019984,0.02027991,0.1655516,-0.08864698,0.1879045,-0.01198596,0.03201437,358.1255,359.8587,4.895751,0.08365017,-0.7143555,0.0793414,-1.263677,-1.1055,-0.5040492,0.0255825,-0.3031139,0.2256268,325.2697,344.6918,6.059705,-0.05315315,-0.5417094,-0.02123383,-0.8833016,1.154301,-0.2166799,0.2829723,-0.3115715,0.2596862,324.6157,350.5039,349.8698,
13.094,-0.004460199,-0.0161215,-0.004226333,0.05178325,0.2047489,-0.09801339,0.1877826,-0.01221091,0.03191876,358.0097,359.6308,4.990052,0.05957294,-0.7651249,0.08685,-1.467131,-1.664204,-0.8428652,0.02535565,-0.3128771,0.2257972,327.7345,345.0522,7.627459,-0.03884317,-0.5716025,-0.03427323,-0.9421985,0.6728293,-0.03063272,0.2821814,-0.3192037,0.2583909,325.2962,351.2539,349.5443,
26.594,-0.007330869,-0.01299724,-0.004925853,0.1133921,0.2371172,-0.1044959,0.1876107,-0.01231271,0.03180742,357.7517,359.4085,5.075684,0.03637457,-0.7864936,0.07939332,-1.623332,-1.877994,-1.146708,0.02529599,-0.3215007,0.2254586,330.2323,345.2268,8.95539,-0.02832772,-0.5792449,-0.03811867,-1.04124,0.1826844,0.02186671,0.2816674,-0.3262638,0.2572676,326.1552,352.0178,349.667,
40.354,-0.01093717,-0.006104794,-0.00596872,0.1851203,0.2592566,-0.09663706,0.1873717,-0.01224893,0.03164363,357.4773,359.195,5.125803,0.02126329,-0.7473062,0.04111283,-1.540324,-1.538483,-1.178995,0.0256789,-0.3283424,0.2235643,331.7899,345.0486,9.46736,-0.01286927,-0.5769992,-0.036068,-1.198537,-0.1443386,0.05382116,0.2814248,-0.3327183,0.25638,327.2426,352.884,349.75,
54.41,-0.01537905,0.004255572,-0.008006728,0.2534713,0.27265,-0.06447367,0.1870155,-0.01188618,0.03140998,357.1454,358.985,5.093185,0.009707449,-0.6249859,-0.02471189,-1.083783,-0.8373215,-0.9657592,0.02642528,-0.3318285,0.2216565,331.899,344.3888,9.444244,-0.01366689,-0.5565568,-0.02786418,-1.313349,0.00284902,-0.1207897,0.2814134,-0.3382781,0.2554674,328.5651,352.8729,349.619,
68.356,-0.020982,0.01462404,-0.01159287,0.3353457,0.2772143,-0.01402271,0.186406,-0.01110494,0.03100491,356.6991,358.8087,5.017939,0.02975433,-0.4674075,-0.06298432,-0.6027494,-0.658458,-0.4835631,0.02719744,-0.3334159,0.2194922,331.4702,344.7705,9.383745,-0.02631731,-0.5024493,-0.02086459,-1.265469,0.4081558,-0.3681924,0.2815503,-0.3415539,0.2555546,329.7787,352.0363,349.3638,
82.12,-0.02640393,0.01930331,-0.01547624,0.4123147,0.2724064,0.03148593,0.1858834,-0.01087892,0.03063083,356.2402,358.6561,4.91807,0.07012547,-0.2822673,-0.06980863,-0.182936,-1.077695,0.2031131,0.02716162,-0.3316911,0.2192226,330.8588,346.7965,9.340028,-0.01954783,-0.3918505,-0.01943696,-1.081652,0.6606323,-0.3726432,0.2823388,-0.3416436,0.2550626,330.4973,351.4574,348.8898,
95.722,-0.03106935,0.02056542,-0.02233162,0.4446935,0.2678635,0.04755092,0.1853236,-0.01067072,0.03000116,355.8538,358.4979,4.883866,0.08757997,-0.08050009,-0.05424013,0.05027968,-1.370772,0.7237198,0.02623717,-0.3263444,0.2199738,330.4147,349.1199,9.041597,0.01661879,-0.1968653,-0.0334292,-0.5328327,0.5145476,-0.1203521,0.2837736,-0.3382839,0.2547543,329.9215,351.473,348.6045,
109.939,-0.0346737,0.02039273,-0.03114912,0.4005947,0.256718,0.004873434,0.1848047,-0.01045734,0.02918768,355.6554,358.3089,5.015155,0.059205,0.1494496,-0.04944522,0.3505048,-0.7171958,1.007442,0.02527899,-0.3185591,0.2192528,329.19,349.9849,7.948919,0.07227068,0.009191372,-0.03525117,-0.07132014,0.09101255,0.208621,0.2861677,-0.3325658,0.2540868,328.9298,352.1885,348.5367,
123.753,-0.03700318,0.01939804,-0.04413182,0.29076,0.2604457,-0.1044309,0.1842545,-0.01019835,0.02804828,355.6597,358.0491,5.317423,0.01210547,0.3975398,-0.06674538,0.8337284,0.7469049,1.183577,0.02472655,-0.3077162,0.2186419,326.7712,349.3083,5.663306,0.1261327,0.2258635,-0.02921196,0.4120893,-0.3119858,0.4655521,0.2884754,-0.3242666,0.2549299,327.5006,353.017,348.6886,
