time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.318,0.03082065,0.006093035,0.003782541,-0.002421424,-0.2204137,0.0800019,0.08305353,-0.1017915,0.4006431,358.806,352.0517,0.3997655,0.02163011,0.03023405,0.03930274,0.01332883,-0.1849598,0.0341716,-0.09590292,-0.5913864,0.5402958,22.47295,335.6028,357.4071,0.07559889,0.001788746,-0.01228084,-0.03019483,-0.168155,0.1836419,0.1800758,-0.5375519,0.6264086,5.086922,343.1981,344.995,
11.955,0.03437431,0.005945082,0.004114876,0.002093236,-0.2499437,0.08816293,0.08364147,-0.1016585,0.4006937,358.7848,352.2975,0.3275358,0.02218423,0.02919128,0.0472271,-0.009084146,-0.2016338,0.03904536,-0.09561642,-0.5909942,0.5411327,22.43737,335.7054,357.2746,0.09103691,0.003197019,-0.01586039,-0.05559466,-0.16158,0.04940248,0.1813146,-0.5376733,0.6259338,5.220837,343.377,345.1036,
25.03,0.03823586,0.006221704,0.004267579,0.004245628,-0.2806039,0.09348421,0.08429351,-0.1015656,0.4007623,358.7542,352.5759,0.261482,0.02484242,0.02943,0.05636893,0.007627457,-0.2319138,0.01326205,-0.09535995,-0.5905914,0.5420873,22.38979,335.9276,357.2369,0.09447871,0.009930735,-0.02461579,-0.002510453,-0.08240224,0.1045586,0.1828396,-0.5374283,0.6253985,5.080581,343.252,345.0029,
39.014,0.04153246,0.006389509,0.004562424,0.01362565,-0.3124939,0.09312309,0.08498061,-0.1014045,0.4008193,358.7209,352.8824,0.2044789,0.0268425,0.03041656,0.06753011,0.01900897,-0.2615498,-0.005140644,-0.09515388,-0.5902631,0.5435185,22.33768,336.1681,357.1945,0.106162,0.02194693,-0.03392674,0.09925089,-0.07369573,0.07281527,0.1847969,-0.5368257,0.6245994,4.860185,343.2395,345.135,
52.548,0.04562851,0.007502201,0.00434041,0.0181009,-0.3477383,0.08706218,0.08576503,-0.1012652,0.4008698,358.6865,353.2266,0.1694317,0.02894492,0.03114113,0.07671731,0.006906404,-0.2933851,0.00132024,-0.09482337,-0.5899048,0.5448931,22.27817,336.3814,357.0737,0.1224185,0.03410551,-0.03916723,0.159336,-0.1365164,0.09250694,0.1870246,-0.5361851,0.623687,4.562493,343.382,345.1704,
66.736,0.04995776,0.008371241,0.004048475,0.02588563,-0.3926211,0.0800936,0.08660424,-0.101122,0.400898,358.6488,353.6165,0.1307472,0.03341958,0.03277226,0.08956195,-0.01960771,-0.3537917,0.02342425,-0.0942414,-0.5891625,0.5459196,22.19686,336.6303,356.8553,0.1460985,0.04405865,-0.04402974,0.1725023,-0.2407345,0.1242252,0.1892729,-0.535962,0.6233974,4.247448,343.6842,345.1232,
80.669,0.05527299,0.009313824,0.003200136,0.02718674,-0.4385599,0.07268127,0.08756489,-0.1010169,0.4009252,358.6099,354.0462,0.1076238,0.03933084,0.03765109,0.1021698,-0.009549917,-0.4210474,0.07501069,-0.09368987,-0.5887107,0.5475584,21.99736,336.9043,356.6054,0.1682976,0.04401148,-0.04455674,0.1087271,-0.3100959,0.08251102,0.1921446,-0.5351527,0.6223649,4.170622,344.0487,345.1132,
94.469,0.06123618,0.009719362,0.0020025,0.02591339,-0.4845527,0.06542267,0.08864602,-0.1008416,0.4008627,358.5994,354.5177,0.07874292,0.04576332,0.03964653,0.1167845,-0.05212229,-0.4716903,0.0892218,-0.0931641,-0.5884151,0.5502688,21.92636,337.1721,356.2853,0.1995138,0.04526726,-0.04493206,0.08786079,-0.4640058,0.03788297,0.1950948,-0.5349714,0.6221536,3.977048,344.6678,345.1679,
108.741,0.06796072,0.009771175,0.0001658807,0.01512543,-0.5396302,0.07297583,0.08983865,-0.1007151,0.400794,358.5984,355.0415,0.003625481,0.05419804,0.04387278,0.1328351,-0.07135428,-0.509129,0.06918151,-0.09221643,-0.5872486,0.5518273,21.87489,337.5046,356.0388,0.2250009,0.04259872,-0.04318522,0.03974413,-0.5846758,-0.03207219,0.1983975,-0.5344301,0.6213712,3.901213,345.3633,345.2685,
122.551,0.07542458,0.009142965,-0.001823233,0.002816845,-0.5985506,0.09256876,0.09105724,-0.1005578,0.4007401,358.6039,355.6287,359.8982,0.06671945,0.05589518,0.1483196,0.01969225,-0.5609142,0.05312732,-0.09119706,-0.5862831,0.5539675,21.6311,337.9922,355.976,0.2536378,0.04412109,-0.04564825,0.02157392,-0.7047932,-0.02058795,0.2024145,-0.5336401,0.6194066,3.706625,346.1263,345.2653,
136.077,0.08175255,0.009527565,-0.003021341,-0.001209009,-0.6592212,0.1213599,0.09241322,-0.1004539,0.400722,358.5664,356.2638,359.7664,0.08230264,0.06552315,0.166087,0.05216597,-0.6166988,0.0002152351,-0.09007904,-0.5855343,0.5574593,21.51107,338.5602,355.9129,0.2741877,0.05248786,-0.05679348,0.03962848,-0.7248778,0.08103061,0.2059192,-0.5331572,0.6188256,3.382936,346.67,345.0852,
150.18,0.0894019,0.01047866,-0.004510369,0.003426494,-0.7293733,0.157145,0.09387952,-0.1002316,0.40063,358.5345,356.9727,359.5974,0.1005573,0.0762509,0.1850269,0.06614816,-0.6899485,-0.02021809,-0.08838373,-0.5840045,0.5598227,21.34653,339.1686,355.7791,0.2866005,0.06481254,-0.07589842,0.1120223,-0.6607268,0.1838114,0.2100933,-0.5322612,0.616627,2.943926,346.9708,344.8925,
164.11,0.09731815,0.01186836,-0.006014603,0.0109951,-0.8048244,0.1927209,0.09550622,-0.1000229,0.4005015,358.4821,357.7613,359.4122,0.1217262,0.09036264,0.2032848,0.1027521,-0.7947338,0.01307126,-0.08647726,-0.5825933,0.5629353,21.02466,339.8373,355.5617,0.296768,0.06607904,-0.08934788,0.1065557,-0.6205679,0.1353694,0.2140814,-0.5315264,0.6152288,2.764315,347.3537,344.9029,
178.01,0.1073477,0.01341572,-0.00810153,0.02041817,-0.9049113,0.2250942,0.09727919,-0.09978706,0.4003143,358.4294,358.6819,359.213,0.1442411,0.1029177,0.2219396,0.1047944,-0.890919,0.04400995,-0.08430347,-0.5811307,0.5665866,20.72846,340.5248,355.2631,0.3135217,0.06824447,-0.1024877,0.1504655,-0.6663515,0.03024011,0.218505,-0.530663,0.6130508,2.500312,347.9245,345.1363,
