time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.422,0.006920506,-0.05644824,0.02341614,-0.07059283,-0.3562239,0.1411032,0.1805374,-0.01533091,0.1255229,0.4653412,0.8096049,4.740587,-0.07211004,-0.03056192,0.004956647,-0.1381349,0.1924944,0.376935,-0.02262015,-0.5774773,0.1959167,16.67205,326.5135,5.490739,-0.08142099,-0.2247959,-0.2521869,-0.2765263,0.7631213,0.3734921,0.2624008,-0.5907742,0.2089026,22.49173,336.5203,350.3548,
12.647,-0.002728716,-0.05985732,0.0282496,-0.05677837,-0.3522406,0.1189136,0.1802263,-0.01634526,0.1260936,0.5064671,1.08005,4.694804,-0.1127691,0.06789229,0.04070145,-0.1730959,0.2152916,1.099731,-0.02430752,-0.5749548,0.1977071,14.80459,325.6919,4.59727,-0.1057281,-0.2204158,-0.2710795,-0.2452827,0.7996032,0.6439623,0.2612512,-0.5942183,0.2049232,22.14735,335.2854,349.7836,
25.991,-0.01387756,-0.06280868,0.03382947,-0.06683553,-0.3486292,0.08353447,0.1797382,-0.01733643,0.1267416,0.6158844,1.334719,4.696358,-0.1328538,0.1825694,0.08551947,-0.08819523,0.1761822,1.843894,-0.02552434,-0.5712093,0.2001809,12.20336,325.1085,3.710076,-0.1229908,-0.2414631,-0.2808166,-0.3193358,0.8761687,0.6925374,0.2602393,-0.5987422,0.2017857,22.19529,334.0618,349.302,
40.053,-0.02463106,-0.06551567,0.03933943,-0.06862652,-0.3383193,0.05814781,0.1790767,-0.0183847,0.1274126,0.6918771,1.57879,4.69077,-0.1206304,0.3071925,0.1371985,0.1257413,0.02562542,2.57646,-0.02625659,-0.5664003,0.2034007,8.914773,325.0656,2.920222,-0.1017009,-0.2910533,-0.2703364,-0.3657674,0.6964856,0.2874633,0.2597511,-0.6039136,0.1988379,22.83265,334.0228,349.3755,
53.949,-0.03681752,-0.0693954,0.04404875,-0.06406379,-0.3283585,0.04446753,0.17822,-0.01958764,0.1281064,0.7463675,1.821296,4.665869,-0.08920173,0.4345092,0.1853031,0.107746,-0.08887458,3.328973,-0.02656348,-0.5600258,0.2075513,5.1729,325.1003,1.542485,-0.05018123,-0.3418102,-0.2533193,-0.2483498,0.4348263,-0.3686681,0.2600687,-0.6089653,0.1952226,23.76262,335.0762,350.3034,
67.76,-0.04917639,-0.07320479,0.04607254,-0.06706699,-0.3237504,0.05286369,0.1772202,-0.02062225,0.1286583,0.8439741,2.065916,4.584261,-0.04395618,0.5782484,0.2299501,0.08730256,-0.05375791,3.947603,-0.02563599,-0.551074,0.2117453,1.198514,325.1233,0.03930471,0.01508916,-0.3692638,-0.2395073,0.02616466,0.1502056,-1.01672,0.2605898,-0.6134297,0.191552,24.53954,336.8771,351.9103,
81.571,-0.06002874,-0.07601034,0.04561163,-0.05915574,-0.3216574,0.08239757,0.1761138,-0.02176356,0.1292458,0.8953596,2.315036,4.452918,-0.01090984,0.6660449,0.2661464,0.6073459,-0.1309212,3.806772,-0.02641266,-0.5422705,0.2164721,358.1433,325.7799,0.1722286,0.0550327,-0.3724149,-0.2393754,0.0828034,-0.04480867,-1.281051,0.2613774,-0.61768,0.1878162,25.18414,338.3146,352.9961,
95.56,-0.06989774,-0.07431428,0.04462068,-0.08618544,-0.3265841,0.1149123,0.1749499,-0.02251834,0.1298788,1.07076,2.576148,4.316131,-0.004704043,0.7692043,0.3012497,1.220844,-0.1396688,3.394651,-0.02754507,-0.5304536,0.2220877,355.5925,326.3603,1.237747,0.1018285,-0.364203,-0.2493111,-0.2305159,-0.4144712,-1.330732,0.2630224,-0.6216311,0.1842562,26.08756,339.7245,353.0228,
109.802,-0.07738233,-0.06702061,0.04570044,-0.08264214,-0.3319791,0.1241983,0.1738132,-0.02299285,0.1304772,1.139579,2.834982,4.220375,0.0008281656,0.9216985,0.3100063,1.672021,0.0747175,3.421844,-0.02694866,-0.5155275,0.2260406,352.2289,326.4727,2.117381,0.1374871,-0.3425015,-0.2742011,-0.9485449,-0.7629563,-1.023022,0.2657747,-0.6239833,0.1797361,27.3645,340.2675,351.376,
123.396,-0.08255464,-0.05485703,0.04542417,-0.02442757,-0.3215739,0.135358,0.1726143,-0.02341509,0.1310837,1.025296,3.068208,4.07981,0.04074136,1.106,0.3010238,2.095506,0.1647823,3.737172,-0.02544338,-0.4982859,0.2306413,348.0638,326.9324,2.856758,0.1721185,-0.3137966,-0.315498,-1.776737,-1.023766,-0.6081548,0.2695747,-0.6262698,0.1745117,28.96433,340.1275,348.6053,
