,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,Unnamed: 37,accel
jog,4332.741336,0.00101718961,0.001265855286,0.006138313692,0.002401666677,0.002130269461,-0.04708852766,0.07635480989,0.1891765437,3.567034318,246.8895141,240.7904772,153.1116956,0.001531930559,0.0007977588894,-0.005047362805,0.0526216182,0.07883188551,-0.04650296855,-0.1085321187,-0.2003933449,34.10353393,164.1765349,209.6331232,110.202273,0.003333403938,-9.39E-05,-0.005027804165,0.02443598967,-0.05717390491,-0.08949009779,0.1048784561,-0.205854563,23.40874722,141.6950525,199.1411755,221.5855944,,-9.93E-06
overhead,4576.836645,-0.0006604613926,-0.0002002582152,-0.0004425014764,-0.001005198918,0.0009211625765,0.001165464102,0.09561830639,0.1785722977,3.065369037,204.586419,250.6593503,164.9798272,0.003662639662,0.0131289428,0.0060466146,0.06441986551,0.01122787029,-0.02410790492,-0.04643886175,0.2227260982,38.44161193,284.5077837,205.1699481,108.6738852,0.004366408297,0.01535698123,0.0008048319872,0.04689272764,-0.0136130006,0.02267175332,0.2191579107,0.2225159111,36.82449462,262.0415035,164.7286331,235.3251641,,-2.55E-05
sit,4311.373403,4.09E-05,-8.30E-05,-0.0002397855168,0.001439518361,4.53E-07,-0.001971113232,0.02083857669,-0.1495858324,48.7124681,287.2834646,208.7145761,177.7475452,-9.60E-05,-0.0003476941928,1.12E-05,-0.0004904006763,-0.0001448822186,-0.01015913004,-0.1346252413,-0.5761170325,2.249751367,96.86141968,106.3511566,107.2075634,-0.0003023679419,-5.63E-07,3.98E-06,0.0007518436231,0.000603835058,0.008164902163,0.006352227522,-0.5764807943,1.270953096,53.99664303,220.599252,243.9966672,,3.89E-06
stand,4401.259121,4.14E-06,4.84E-05,-0.0001102305935,0.0006967788339,0.0008793443864,0.028984286,0.01588720228,0.2497962936,11.41896609,215.2683322,214.6457146,186.6758744,-0.0001294459033,-0.0004375481843,-0.0002287666206,-0.001261635773,-0.001149152259,0.005156167437,-0.2108684026,-0.3721562734,6.654668376,90.38981868,172.964609,130.5341434,-4.33E-05,-5.70E-05,-0.0008781720708,-0.001015919836,0.00181075209,0.05407292922,0.02288066573,-0.365701491,6.176663688,54.88722819,133.6812402,190.2939153,,2.14E-06
stretch,4672.24606,-0.0001698208522,0.0003456033898,0.001083724259,0.000535550315,0.0009456444662,-0.02574183081,0.1076140184,0.1598425524,0.9246448187,189.5340936,238.783553,142.6653486,-0.008132752012,-0.0008729331512,-0.005491596531,0.07342714125,0.06568401116,0.04065029519,-0.3218549222,-0.01468481576,37.02154118,285.4435805,246.8054376,70.90037223,0.006449301028,-0.0001993623405,-0.01563628006,0.05847759889,-0.08513954371,-0.09886671603,0.4805115395,-0.02572650506,24.9606452,242.5832347,118.7785881,259.0122982,,-5.18E-06
twist,4478.421278,0.0002891076606,0.0002245914974,-0.008705202037,-0.01973641301,0.001525788377,-0.01798374006,0.1062137337,0.1175388779,5.921376877,173.4902156,192.0071858,161.7901947,0.0006641233286,-0.0007320134112,-0.009690470166,0.07584800665,0.03209801223,0.02673496112,-0.01698955469,-0.2027988034,47.8209644,267.9940206,176.2445506,120.1638877,-0.002307634614,-0.001914415113,-0.008097665813,0.05136383056,0.007726490145,-0.05684323288,0.1192405226,-0.2069185019,44.23562273,249.4244997,198.0711936,197.8321908,,6.74E-06
